"Estado","SSA","IMSS.ORD","ISSSTE","IMSS.OP","DIF","PEMEX","SEDENA","SEDEMAR","OTRAS","Año","Sexo"
"Zacatecas",630,784,212,144,28,0,0,0,1,"2003","HOMBRE"
"Aguascalientes",2095,526,684,0,0,0,0,0,67,"2004","HOMBRE"
"Baja California",1106,3717,235,12,0,0,6,0,229,"2004","HOMBRE"
"Baja California Sur",275,517,142,0,0,0,8,7,0,"2004","HOMBRE"
"Campeche",339,190,167,37,6,9,20,27,13,"2004","HOMBRE"
"Coahuila",507,3439,1871,73,0,0,0,0,491,"2004","HOMBRE"
"Colima",299,353,15,0,0,0,8,1,14,"2004","HOMBRE"
"Chiapas",1301,1730,689,256,0,11,80,3,220,"2004","HOMBRE"
"Chihuahua",611,3865,215,49,0,0,0,0,650,"2004","HOMBRE"
"Distrito Federal",5727,3172,5570,0,48,108,403,50,666,"2004","HOMBRE"
"Durango",774,1604,1519,105,0,0,9,0,17,"2004","HOMBRE"
"Guanajuato",1808,4728,421,0,0,31,24,0,86,"2004","HOMBRE"
"Guerrero",2240,1671,1587,0,0,0,31,72,0,"2004","HOMBRE"
"Hidalgo",1014,679,302,152,0,20,10,0,63,"2004","HOMBRE"
"Jalisco",2735,7889,368,0,77,31,135,0,3827,"2004","HOMBRE"
"México",4455,6061,2352,0,1513,110,509,0,2420,"2004","HOMBRE"
"Michoacán",1459,1080,643,270,0,0,0,3,0,"2004","HOMBRE"
"Morelos",899,1466,1782,0,0,0,0,0,0,"2004","HOMBRE"
"Nayarit",510,493,614,62,91,0,14,0,19,"2004","HOMBRE"
"Nuevo León",1416,2227,232,0,0,15,31,0,1570,"2004","HOMBRE"
"Oaxaca",1119,729,1115,310,0,58,136,25,48,"2004","HOMBRE"
"Puebla",1830,3651,1117,185,18,4,8,0,806,"2004","HOMBRE"
"Querétaro",679,1253,58,0,3,0,0,0,25,"2004","HOMBRE"
"Quintana Roo",212,146,209,0,0,0,7,3,0,"2004","HOMBRE"
"San Luis Potosí",1218,2207,386,245,0,0,145,0,12,"2004","HOMBRE"
"Sinaloa",1190,2180,174,59,180,12,229,32,1089,"2004","HOMBRE"
"Sonora",1159,2002,94,2,0,0,79,9,596,"2004","HOMBRE"
"Tabasco",1316,924,148,0,0,69,75,3,260,"2004","HOMBRE"
"Tamaulipas",1451,3026,650,200,0,101,18,2,16,"2004","HOMBRE"
"Tlaxcala",461,464,168,0,0,0,29,0,1,"2004","HOMBRE"
"Veracruz",2442,2627,270,509,57,229,50,16,0,"2004","HOMBRE"
"Yucatán",574,1882,222,169,3,0,0,0,327,"2004","HOMBRE"
"Zacatecas",536,936,156,169,20,0,10,0,3,"2004","HOMBRE"
"Aguascalientes",31,31,7,1,1,0,16,0,21,"2005","HOMBRE"
"Baja California",11,16,21,3,1,0,8,2,18,"2005","HOMBRE"
"Baja California Sur",18,21,32,1,1,0,28,0,1,"2005","HOMBRE"
"Campeche",19,20,6,19,5,3,22,18,10,"2005","HOMBRE"
"Coahuila",28,15,14,2,1,0,24,0,13,"2005","HOMBRE"
"Colima",20,23,17,1,10,0,1,7,14,"2005","HOMBRE"
"Chiapas",13,3,2,12,1,96,2,2,9,"2005","HOMBRE"
"Chihuahua",30,14,9,21,1,0,10,0,3,"2005","HOMBRE"
"Distrito Federal",26,17,25,1,4,76,14,23,16,"2005","HOMBRE"
"Durango",32,5,15,24,1,0,4,0,24,"2005","HOMBRE"
"Guanajuato",17,18,26,4,1,16,15,0,12,"2005","HOMBRE"
"Guerrero",15,6,3,13,1,0,19,55,1,"2005","HOMBRE"
"Hidalgo",3,30,22,8,1,21,13,0,22,"2005","HOMBRE"
"Jalisco",17,29,23,10,14,10,25,3,11,"2005","HOMBRE"
"México",22,25,13,14,3,173,11,0,8,"2005","HOMBRE"
"Michoacán",9,2,27,7,1,0,17,7,1,"2005","HOMBRE"
"Morelos",2,4,5,18,1,0,21,0,1,"2005","HOMBRE"
"Nayarit",23,22,30,17,13,0,6,0,7,"2005","HOMBRE"
"Nuevo León",1,12,16,1,1,29,21,0,4,"2005","HOMBRE"
"Oaxaca",8,32,1,16,9,50,29,25,5,"2005","HOMBRE"
"Puebla",10,19,4,9,12,5,3,0,25,"2005","HOMBRE"
"Querétaro",27,33,31,14,10,0,1,0,15,"2005","HOMBRE"
"Quintana Roo",14,11,11,1,1,0,27,0,1,"2005","HOMBRE"
"San Luis Potosí",6,9,24,11,1,0,9,0,23,"2005","HOMBRE"
"Sinaloa",12,8,12,22,8,4,5,75,27,"2005","HOMBRE"
"Sonora",5,7,22,5,1,0,20,14,17,"2005","HOMBRE"
"Tabasco",4,27,10,1,1,130,18,1,20,"2005","HOMBRE"
"Tamaulipas",7,13,28,23,2,102,22,0,26,"2005","HOMBRE"
"Tlaxcala",24,24,18,1,1,0,26,0,1,"2005","HOMBRE"
"Veracruz",16,10,20,20,6,224,23,53,1,"2005","HOMBRE"
"Yucatán",29,1,29,8,1,0,16,0,19,"2005","HOMBRE"
"Zacatecas",25,26,8,6,11,0,12,0,2,"2005","HOMBRE"
"Aguascalientes",27,30,27,1,4,0,24,0,13,"2006","HOMBRE"
"Baja California",9,15,19,11,1,0,11,0,16,"2006","HOMBRE"
"Baja California Sur",19,21,24,1,1,0,8,2,1,"2006","HOMBRE"
"Campeche",18,16,6,21,13,0,4,10,26,"2006","HOMBRE"
"Coahuila",25,14,10,3,17,0,19,0,21,"2006","HOMBRE"
"Colima",18,24,4,1,1,0,7,1,9,"2006","HOMBRE"
"Chiapas",6,1,29,14,1,59,9,1,5,"2006","HOMBRE"
"Chihuahua",1,11,18,25,1,0,8,0,2,"2006","HOMBRE"
"Distrito Federal",23,18,23,1,6,70,21,41,14,"2006","HOMBRE"
"Durango",24,2,1,6,1,0,20,0,28,"2006","HOMBRE"
"Guanajuato",17,17,25,22,1,18,26,0,10,"2006","HOMBRE"
"Guerrero",13,5,32,13,1,0,30,27,22,"2006","HOMBRE"
"Hidalgo",3,28,17,9,1,76,16,0,15,"2006","HOMBRE"
"Jalisco",14,29,28,22,14,7,29,4,12,"2006","HOMBRE"
"México",22,26,3,8,3,0,17,0,3,"2006","HOMBRE"
"Michoacán",8,3,31,18,1,0,18,1,1,"2006","HOMBRE"
"Morelos",2,6,2,15,1,0,15,0,1,"2006","HOMBRE"
"Nayarit",26,22,21,20,5,0,2,0,27,"2006","HOMBRE"
"Nuevo León",32,13,12,22,1,25,27,0,3,"2006","HOMBRE"
"Oaxaca",11,33,33,19,8,57,25,19,24,"2006","HOMBRE"
"Puebla",7,19,30,17,16,12,14,0,25,"2006","HOMBRE"
"Querétaro",28,32,5,15,4,0,1,0,19,"2006","HOMBRE"
"Quintana Roo",16,20,7,1,1,0,5,1,1,"2006","HOMBRE"
"San Luis Potosí",5,8,20,12,1,5,6,0,6,"2006","HOMBRE"
"Sinaloa",12,9,13,23,12,3,10,5,20,"2006","HOMBRE"
"Sonora",31,7,8,5,1,0,28,6,4,"2006","HOMBRE"
"Tabasco",4,31,11,1,1,131,23,4,11,"2006","HOMBRE"
"Tamaulipas",10,12,26,4,9,86,12,5,23,"2006","HOMBRE"
"Tlaxcala",21,25,16,2,10,0,7,0,17,"2006","HOMBRE"
"Veracruz",15,10,14,24,7,233,22,67,1,"2006","HOMBRE"
"Yucatán",30,4,22,10,2,0,13,0,18,"2006","HOMBRE"
"Zacatecas",29,23,9,7,15,0,13,0,8,"2006","HOMBRE"
"Aguascalientes",25,21,30,NA,12,NA,23,NA,10,"2007","HOMBRE"
"Baja California",7,11,20,11,NA,NA,21,0,15,"2007","HOMBRE"
"Baja California Sur",20,23,11,NA,NA,NA,8,2,NA,"2007","HOMBRE"
"Campeche",17,20,9,22,9,2,2,9,22,"2007","HOMBRE"
"Coahuila",21,13,5,4,15,NA,12,NA,21,"2007","HOMBRE"
"Colima",18,27,13,NA,7,NA,25,35,13,"2007","HOMBRE"
"Chiapas",8,4,33,13,NA,74,17,0,6,"2007","HOMBRE"
"Chihuahua",2,16,23,21,NA,NA,23,NA,2,"2007","HOMBRE"
"Distrito Federal",23,19,26,19,16,44,22,50,26,"2007","HOMBRE"
"Durango",19,1,32,6,1,NA,10,NA,28,"2007","HOMBRE"
"Guanajuato",13,10,25,9,NA,19,9,NA,11,"2007","HOMBRE"
"Guerrero",11,6,1,5,NA,NA,24,2,1,"2007","HOMBRE"
"Hidalgo",1,30,27,7,1,53,25,NA,3,"2007","HOMBRE"
"Jalisco",14,24,4,24,13,5,20,12,12,"2007","HOMBRE"
"México",28,28,6,15,5,NA,13,NA,7,"2007","HOMBRE"
"Michoacán",3,2,8,17,NA,NA,1,14,NA,"2007","HOMBRE"
"Morelos",32,7,7,2,NA,NA,4,NA,NA,"2007","HOMBRE"
"Nayarit",26,14,29,23,14,NA,1,2,4,"2007","HOMBRE"
"Nuevo León",33,17,10,9,1,24,18,NA,8,"2007","HOMBRE"
"Oaxaca",9,33,3,18,10,53,15,21,19,"2007","HOMBRE"
"Puebla",4,15,2,14,10,3,25,NA,20,"2007","HOMBRE"
"Querétaro",27,32,14,2,2,NA,NA,NA,18,"2007","HOMBRE"
"Quintana Roo",16,26,12,NA,NA,NA,7,0,NA,"2007","HOMBRE"
"San Luis Potosí",5,3,24,12,NA,3,16,NA,24,"2007","HOMBRE"
"Sinaloa",12,8,21,25,6,7,6,24,23,"2007","HOMBRE"
"Sonora",29,9,19,3,NA,NA,11,2,27,"2007","HOMBRE"
"Tabasco",6,31,16,NA,NA,205,14,8,25,"2007","HOMBRE"
"Tamaulipas",10,12,31,26,1,90,5,1,16,"2007","HOMBRE"
"Tlaxcala",24,25,22,1,3,NA,1,NA,9,"2007","HOMBRE"
"Veracruz",15,18,17,20,4,217,19,77,NA,"2007","HOMBRE"
"Yucatán",31,5,28,10,7,NA,1,0,17,"2007","HOMBRE"
"Zacatecas",30,22,15,8,11,NA,1,NA,14,"2007","HOMBRE"
"Aguascalientes",27,21,28,NA,4,NA,9,NA,10,"2008","HOMBRE"
"Baja California",11,12,13,25,NA,NA,8,1,13,"2008","HOMBRE"
"Baja California Sur",18,29,33,NA,NA,NA,2,32,NA,"2008","HOMBRE"
"Campeche",19,14,30,10,9,0,21,10,6,"2008","HOMBRE"
"Coahuila",23,13,31,7,1,NA,4,NA,27,"2008","HOMBRE"
"Colima",20,23,9,NA,2,NA,20,29,23,"2008","HOMBRE"
"Chiapas",10,1,32,15,NA,65,11,5,24,"2008","HOMBRE"
"Chihuahua",8,16,18,21,NA,NA,4,NA,1,"2008","HOMBRE"
"Distrito Federal",22,18,21,3,5,58,15,53,21,"2008","HOMBRE"
"Durango",21,2,26,5,1,NA,20,NA,4,"2008","HOMBRE"
"Guanajuato",16,9,19,20,NA,11,17,NA,18,"2008","HOMBRE"
"Guerrero",12,6,2,9,NA,NA,10,0,NA,"2008","HOMBRE"
"Hidalgo",4,32,23,6,1,43,2,NA,9,"2008","HOMBRE"
"Jalisco",17,22,1,22,14,19,18,1,15,"2008","HOMBRE"
"México",31,25,11,13,3,NA,7,NA,3,"2008","HOMBRE"
"Michoacán",6,3,5,16,NA,NA,1,4,NA,"2008","HOMBRE"
"Morelos",1,4,4,20,NA,NA,16,NA,NA,"2008","HOMBRE"
"Nayarit",26,20,25,18,12,NA,1,0,5,"2008","HOMBRE"
"Nuevo León",2,17,8,2,NA,47,12,NA,2,"2008","HOMBRE"
"Oaxaca",13,33,29,17,13,52,5,25,11,"2008","HOMBRE"
"Puebla",5,15,3,11,15,110,11,NA,22,"2008","HOMBRE"
"Querétaro",29,31,6,13,7,NA,21,NA,14,"2008","HOMBRE"
"Quintana Roo",24,24,10,NA,NA,NA,11,4,NA,"2008","HOMBRE"
"San Luis Potosí",7,5,22,12,NA,1,4,NA,17,"2008","HOMBRE"
"Sinaloa",14,8,14,23,8,0,19,14,26,"2008","HOMBRE"
"Sonora",33,10,15,4,NA,NA,6,3,20,"2008","HOMBRE"
"Tabasco",3,30,17,NA,NA,161,13,6,25,"2008","HOMBRE"
"Tamaulipas",9,11,27,24,1,191,13,0,16,"2008","HOMBRE"
"Tlaxcala",28,26,20,1,11,NA,4,NA,19,"2008","HOMBRE"
"Veracruz",15,19,16,19,16,238,14,108,NA,"2008","HOMBRE"
"Yucatán",32,7,24,12,2,NA,1,0,12,"2008","HOMBRE"
"Zacatecas",30,28,7,8,10,NA,1,NA,8,"2008","HOMBRE"
"Aguascalientes",27,25,7,28,3,15,20,18,27,"2009","HOMBRE"
"Baja California",9,16,14,22,17,15,6,1,20,"2009","HOMBRE"
"Baja California Sur",17,28,26,28,17,15,1,4,28,"2009","HOMBRE"
"Campeche",18,18,32,23,16,6,17,3,3,"2009","HOMBRE"
"Coahuila",25,15,28,5,14,15,8,18,8,"2009","HOMBRE"
"Colima",19,24,11,28,1,15,1,17,12,"2009","HOMBRE"
"Chiapas",8,4,1,18,17,14,19,3,1,"2009","HOMBRE"
"Chihuahua",10,19,17,25,17,15,5,18,2,"2009","HOMBRE"
"Distrito Federal",21,22,18,6,4,2,11,11,26,"2009","HOMBRE"
"Durango",20,5,31,27,1,15,24,18,4,"2009","HOMBRE"
"Guanajuato",16,17,13,3,17,5,23,18,18,"2009","HOMBRE"
"Guerrero",12,6,2,10,17,15,24,15,28,"2009","HOMBRE"
"Hidalgo",4,32,30,8,1,12,21,18,5,"2009","HOMBRE"
"Jalisco",15,26,23,24,11,3,25,2,13,"2009","HOMBRE"
"México",32,30,10,11,2,15,9,18,9,"2009","HOMBRE"
"Michoacán",7,8,5,14,17,15,1,10,28,"2009","HOMBRE"
"Morelos",1,11,3,3,17,15,18,18,28,"2009","HOMBRE"
"Nayarit",23,23,24,15,10,15,1,13,11,"2009","HOMBRE"
"Nuevo León",33,20,9,17,17,14,16,18,10,"2009","HOMBRE"
"Oaxaca",11,2,33,19,8,13,7,6,23,"2009","HOMBRE"
"Puebla",3,14,4,13,13,10,2,18,22,"2009","HOMBRE"
"Querétaro",31,1,8,20,12,15,13,18,17,"2009","HOMBRE"
"Quintana Roo",22,27,22,28,17,15,4,10,28,"2009","HOMBRE"
"San Luis Potosí",5,10,27,16,17,9,14,18,14,"2009","HOMBRE"
"Sinaloa",14,9,16,26,6,11,15,14,25,"2009","HOMBRE"
"Sonora",29,12,15,1,17,15,12,5,15,"2009","HOMBRE"
"Tabasco",2,3,20,28,17,8,21,16,19,"2009","HOMBRE"
"Tamaulipas",6,13,29,2,1,4,10,9,21,"2009","HOMBRE"
"Tlaxcala",26,28,19,9,1,15,15,18,16,"2009","HOMBRE"
"Veracruz",13,21,25,21,9,7,22,7,28,"2009","HOMBRE"
"Yucatán",30,7,21,4,15,15,1,8,24,"2009","HOMBRE"
"Zacatecas",28,31,6,7,5,15,1,18,6,"2009","HOMBRE"
"Aguascalientes",30,24,10,NA,11,NA,1,NA,2,"2010","HOMBRE"
"Baja California",11,17,23,25,NA,NA,19,13,1,"2010","HOMBRE"
"Baja California Sur",18,25,30,NA,NA,NA,4,7,NA,"2010","HOMBRE"
"Campeche",25,15,11,23,15,8,1,13,27,"2010","HOMBRE"
"Coahuila",19,16,32,7,2,NA,8,NA,3,"2010","HOMBRE"
"Colima",20,20,13,NA,2,NA,6,3,20,"2010","HOMBRE"
"Chiapas",9,4,3,16,NA,15,1,4,9,"2010","HOMBRE"
"Chihuahua",10,19,25,5,NA,NA,11,NA,5,"2010","HOMBRE"
"Distrito Federal",23,22,24,10,5,3,7,8,23,"2010","HOMBRE"
"Durango",27,2,5,27,1,NA,10,NA,10,"2010","HOMBRE"
"Guanajuato",17,13,21,26,NA,10,16,NA,22,"2010","HOMBRE"
"Guerrero",12,5,8,13,NA,NA,12,12,NA,"2010","HOMBRE"
"Hidalgo",4,32,26,11,1,11,1,NA,16,"2010","HOMBRE"
"Jalisco",16,26,6,14,13,4,6,2,17,"2010","HOMBRE"
"México",32,30,15,22,3,NA,18,NA,13,"2010","HOMBRE"
"Michoacán",6,9,14,20,NA,NA,1,13,NA,"2010","HOMBRE"
"Morelos",33,8,2,26,NA,NA,16,NA,NA,"2010","HOMBRE"
"Nayarit",21,23,29,12,10,NA,1,5,14,"2010","HOMBRE"
"Nuevo León",2,18,19,6,NA,12,3,NA,6,"2010","HOMBRE"
"Oaxaca",13,1,4,21,12,14,5,1,15,"2010","HOMBRE"
"Puebla",5,12,7,18,16,13,1,NA,25,"2010","HOMBRE"
"Querétaro",3,33,17,2,14,NA,15,NA,19,"2010","HOMBRE"
"Quintana Roo",22,27,20,NA,NA,NA,17,2,NA,"2010","HOMBRE"
"San Luis Potosí",8,7,31,19,NA,7,14,NA,26,"2010","HOMBRE"
"Sinaloa",14,10,18,3,7,1,2,4,24,"2010","HOMBRE"
"Sonora",31,14,21,1,NA,NA,17,9,7,"2010","HOMBRE"
"Tabasco",1,3,22,NA,NA,6,9,7,18,"2010","HOMBRE"
"Tamaulipas",7,11,9,4,1,5,19,6,11,"2010","HOMBRE"
"Tlaxcala",26,28,27,15,1,NA,1,NA,8,"2010","HOMBRE"
"Veracruz",15,21,1,24,8,9,13,10,12,"2010","HOMBRE"
"Yucatán",29,6,28,8,4,NA,1,2,21,"2010","HOMBRE"
"Zacatecas",28,31,12,9,6,NA,1,NA,20,"2010","HOMBRE"
"Aguascalientes",28,26,21,NA,5,NA,2,NA,29,"2011","HOMBRE"
"Baja California",10,19,24,24,NA,NA,14,10,24,"2011","HOMBRE"
"Baja California Sur",17,23,28,NA,NA,NA,2,2,NA,"2011","HOMBRE"
"Campeche",21,16,9,21,2,8,7,5,2,"2011","HOMBRE"
"Coahuila",15,7,15,3,13,NA,7,NA,22,"2011","HOMBRE"
"Colima",18,21,8,NA,16,NA,2,11,19,"2011","HOMBRE"
"Chiapas",9,6,1,14,NA,7,19,4,28,"2011","HOMBRE"
"Chihuahua",7,18,25,2,NA,NA,13,NA,3,"2011","HOMBRE"
"Distrito Federal",24,17,19,25,18,3,5,13,25,"2011","HOMBRE"
"Durango",25,3,3,7,1,NA,10,NA,17,"2011","HOMBRE"
"Guanajuato",16,12,27,11,NA,14,9,NA,15,"2011","HOMBRE"
"Guerrero",11,4,5,15,NA,NA,17,16,1,"2011","HOMBRE"
"Hidalgo",2,32,29,10,1,13,2,NA,7,"2011","HOMBRE"
"Jalisco",13,27,6,19,15,2,6,3,11,"2011","HOMBRE"
"México",30,25,13,21,6,NA,11,NA,16,"2011","HOMBRE"
"Michoacán",6,8,4,16,NA,NA,1,7,NA,"2011","HOMBRE"
"Morelos",33,10,12,6,NA,NA,7,NA,NA,"2011","HOMBRE"
"Nayarit",19,24,30,5,9,NA,1,1,9,"2011","HOMBRE"
"Nuevo León",1,20,17,1,NA,11,15,NA,5,"2011","HOMBRE"
"Oaxaca",8,1,33,20,8,15,3,15,18,"2011","HOMBRE"
"Puebla",5,13,32,18,12,9,7,NA,21,"2011","HOMBRE"
"Querétaro",31,31,16,12,10,NA,6,NA,23,"2011","HOMBRE"
"Quintana Roo",26,26,11,NA,NA,NA,2,1,1,"2011","HOMBRE"
"San Luis Potosí",4,9,31,18,NA,5,8,NA,26,"2011","HOMBRE"
"Sinaloa",14,15,18,8,4,10,16,8,20,"2011","HOMBRE"
"Sonora",29,14,22,22,NA,NA,1,2,6,"2011","HOMBRE"
"Tabasco",32,5,20,NA,NA,6,20,6,10,"2011","HOMBRE"
"Tamaulipas",3,11,7,4,5,4,18,14,8,"2011","HOMBRE"
"Tlaxcala",20,29,23,25,14,NA,2,NA,12,"2011","HOMBRE"
"Veracruz",12,22,2,23,11,12,4,9,14,"2011","HOMBRE"
"Yucatán",22,2,26,9,17,NA,12,1,13,"2011","HOMBRE"
"Zacatecas",27,30,10,13,3,NA,1,NA,27,"2011","HOMBRE"
"Aguascalientes",808,731,700,NA,7,NA,0,NA,3,"2012","HOMBRE"
"Baja California",2509,3588,444,32,NA,NA,5,9,23,"2012","HOMBRE"
"Baja California Sur",583,430,86,NA,NA,NA,1,1,NA,"2012","HOMBRE"
"Campeche",338,288,75,85,0,36,0,7,12,"2012","HOMBRE"
"Coahuila",561,1708,3119,143,83,NA,4,NA,25,"2012","HOMBRE"
"Colima",346,499,5,NA,1,NA,1,2,20,"2012","HOMBRE"
"Chiapas",1587,1556,934,429,NA,28,2,9,7,"2012","HOMBRE"
"Chihuahua",2118,3048,502,124,NA,NA,94,NA,5,"2012","HOMBRE"
"Distrito Federal",5009,3045,3001,26,67,180,170,57,27,"2012","HOMBRE"
"Durango",380,1171,1029,153,0,NA,10,0,18,"2012","HOMBRE"
"Guanajuato",2908,2361,427,13,NA,65,59,NA,16,"2012","HOMBRE"
"Guerrero",2083,1565,1241,102,NA,NA,22,38,2,"2012","HOMBRE"
"Hidalgo",1665,899,697,251,0,68,0,NA,13,"2012","HOMBRE"
"Jalisco",2489,5630,1640,14,27,11,94,0,15,"2012","HOMBRE"
"México",10601,5300,2778,NA,NA,NA,NA,NA,1,"2012","HOMBRE"
"Michoacán",1268,1694,1567,486,NA,NA,1,4,NA,"2012","HOMBRE"
"Morelos",909,2048,1323,6,NA,NA,8,NA,NA,"2012","HOMBRE"
"Nayarit",423,431,843,106,31,NA,0,2,14,"2012","HOMBRE"
"Nuevo León",1181,4134,341,3,NA,57,34,NA,4,"2012","HOMBRE"
"Oaxaca",1648,945,1326,695,29,74,11,10,28,"2012","HOMBRE"
"Puebla",1800,2331,589,492,26,30,4,NA,22,"2012","HOMBRE"
"Querétaro",1053,868,189,2,5,NA,14,NA,11,"2012","HOMBRE"
"Quintana Roo",515,528,179,NA,NA,NA,1,0,2,"2012","HOMBRE"
"San Luis Potosí",1545,1826,711,447,NA,6,18,NA,8,"2012","HOMBRE"
"Sinaloa",3562,2182,359,159,134,2,2,19,24,"2012","HOMBRE"
"Sonora",1096,2573,475,4,NA,NA,3,7,11,"2012","HOMBRE"
"Tabasco",1067,1341,443,NA,NA,252,18,7,17,"2012","HOMBRE"
"Tamaulipas",1776,2251,1758,119,2,179,9,50,26,"2012","HOMBRE"
"Tlaxcala",428,771,335,17,142,NA,4,NA,19,"2012","HOMBRE"
"Veracruz",2451,4809,1411,702,48,415,149,173,21,"2012","HOMBRE"
"Yucatán",637,987,499,217,4,NA,67,0,10,"2012","HOMBRE"
"Zacatecas",668,565,115,262,32,NA,15,NA,6,"2012","HOMBRE"
"Aguascalientes",29,31,26,NA,14,NA,1,NA,24,"2013","HOMBRE"
"Baja California",12,16,23,17,NA,NA,7,29,2,"2013","HOMBRE"
"Baja California Sur",21,23,29,NA,NA,NA,1,0,NA,"2013","HOMBRE"
"Campeche",18,15,8,25,1,7,0,15,1,"2013","HOMBRE"
"Coahuila",22,5,1,7,5,NA,15,NA,20,"2013","HOMBRE"
"Colima",17,21,14,NA,4,NA,1,12,19,"2013","HOMBRE"
"Chiapas",8,3,28,16,NA,7,0,12,5,"2013","HOMBRE"
"Chihuahua",6,9,21,5,NA,NA,12,NA,4,"2013","HOMBRE"
"Distrito Federal",24,14,13,12,17,2,81,34,22,"2013","HOMBRE"
"Durango",19,33,2,9,1,NA,67,0,16,"2013","HOMBRE"
"Guanajuato",13,12,18,14,NA,13,25,NA,18,"2013","HOMBRE"
"Guerrero",15,2,31,28,NA,NA,16,37,1,"2013","HOMBRE"
"Hidalgo",4,32,23,11,1,11,0,NA,10,"2013","HOMBRE"
"Jalisco",14,17,3,3,12,3,11,1,11,"2013","HOMBRE"
"México",10,22,12,22,3,NA,72,NA,15,"2013","HOMBRE"
"Michoacán",3,4,5,18,NA,NA,0,14,NA,"2013","HOMBRE"
"Morelos",31,11,4,27,NA,NA,13,NA,NA,"2013","HOMBRE"
"Nayarit",20,20,24,24,11,NA,0,0,14,"2013","HOMBRE"
"Nuevo León",2,18,11,2,NA,12,2,NA,3,"2013","HOMBRE"
"Oaxaca",9,28,30,23,8,4,0,8,21,"2013","HOMBRE"
"Puebla",7,6,19,15,6,8,0,NA,23,"2013","HOMBRE"
"Querétaro",32,30,7,21,9,NA,7,NA,6,"2013","HOMBRE"
"Quintana Roo",28,26,10,NA,NA,NA,0,2,1,"2013","HOMBRE"
"San Luis Potosí",1,7,27,20,NA,9,8,NA,8,"2013","HOMBRE"
"Sinaloa",16,8,17,8,16,9,4,16,26,"2013","HOMBRE"
"Sonora",30,13,22,1,NA,NA,22,1,7,"2013","HOMBRE"
"Tabasco",33,1,20,NA,NA,6,8,0,17,"2013","HOMBRE"
"Tamaulipas",5,10,6,6,2,5,0,28,25,"2013","HOMBRE"
"Tlaxcala",23,27,16,4,15,NA,2,NA,1,"2013","HOMBRE"
"Veracruz",11,19,6,26,13,10,167,52,12,"2013","HOMBRE"
"Yucatán",25,29,25,13,9,NA,0,0,13,"2013","HOMBRE"
"Zacatecas",27,25,9,10,10,NA,4,NA,27,"2013","HOMBRE"
